	grid_num	northeast	southwest	raw_data	keywords	addresses	landmarks	subregion	streets
52	53	(47.70255186740395, 9.284178111849814)	(47.69985358016929, 9.280178890340592)	[]	[]	[]	[]	[]	[]
53	54	(47.70255179778805, 9.288175270664215)	(47.699853510559926, 9.284175842905722)	[]	[]	[]	[]	[]	[]
54	55	(47.70255172817215, 9.292172429473295)	(47.69985344095057, 9.288172795465531)	[]	[]	[]	[]	[]	[]
55	56	(47.70255165855625, 9.296169588277053)	(47.69985337134122, 9.29216974802002)	[]	[]	[]	[]	[]	[]
56	57	(47.70255158894036, 9.300166747075489)	(47.69985330173186, 9.29616670056919)	[]	[]	[]	[]	[]	[]
57	58	(47.702551519324466, 9.304163905868604)	(47.699853232122514, 9.300163653113039)	[]	[]	[]	[]	[]	[]
58	59	(47.70255144970857, 9.308161064656398)	(47.69985316251315, 9.304160605651568)	[]	[]	[]	[]	[]	[]
59	60	(47.70255138009268, 9.31215822343887)	(47.699853092903794, 9.308157558184776)	[]	[]	[]	[]	[]	[]
60	61	(47.699854137070425, 9.256198)	(47.697155848514974, 9.252200222235707)	[]	[]	[]	[]	[]	[]
61	62	(47.69985406746107, 9.260194952607694)	(47.69715577891217, 9.256196968624243)	[]	[]	[]	[]	[]	[]
62	63	(47.699853997851704, 9.264191905210069)	(47.69715570930936, 9.260193715007459)	[]	[]	[]	[]	[]	[]
63	64	(47.699853928242355, 9.268188857807123)	(47.697155639706544, 9.264190461385356)	[{'AddressNumber': '23', 'Country': 'DEU', 'Geometry': {'Point': [9.26624, 47.6975]}, 'Interpolated': False, 'Label': 'Klauspeter Haan, Schützenstraße 23, 88709, Meersburg, Baden-Württemberg, DEU', 'Municipality': 'Meersburg', 'PostalCode': '88709', 'Region': 'Baden-Württemberg', 'Street': 'Schützen straße', 'SubRegion': 'Bodenseekreis', 'Category': 'Medical Clinic'}, {'AddressNumber': '23', 'Country': 'DEU', 'Geometry': {'Point': [9.26624, 47.6975]}, 'Interpolated': False, 'Label': 'Jörg Fitzner, Schützenstraße 23, 88709, Meersburg, Baden-Württemberg, DEU', 'Municipality': 'Meersburg', 'PostalCode': '88709', 'Region': 'Baden-Württemberg', 'Street': 'Schützen straße', 'SubRegion': 'Bodenseekreis', 'Category': 'Medical Clinic'}, {'Country': 'DEU', 'Geometry': {'Point': [9.26657, 47.69752]}, 'Interpolated': False, 'Label': 'Sommertal, Schützenstraße, 88709, Meersburg, Baden-Württemberg, DEU', 'Municipality': 'Meersburg', 'PostalCode': '88709', 'Region': 'Baden-Württemberg', 'Street': 'Schützen straße', 'SubRegion': 'Bodenseekreis', 'Category': 'Parking'}, {'AddressNumber': '21', 'Country': 'DEU', 'Geometry': {'Point': [9.26591, 47.69865]}, 'Interpolated': False, 'Label': 'Sommertalschule Gemeinschaftsschule, Sommertalweg 21, 88709, Meersburg, Baden-Württemberg, DEU', 'Municipality': 'Meersburg', 'PostalCode': '88709', 'Region': 'Baden-Württemberg', 'Street': 'Sommertal weg', 'SubRegion': 'Bodenseekreis', 'Category': 'School'}, {'Country': 'DEU', 'Geometry': {'Point': [9.26687, 47.69828]}, 'Interpolated': False, 'Label': 'Kindergarten Hort an der Grund-und Hauptschule, Sommertalweg, 88709, Meersburg, Baden-Württemberg, DEU', 'Municipality': 'Meersburg', 'PostalCode': '88709', 'Region': 'Baden-Württemberg', 'Street': 'Sommertal weg', 'SubRegion': 'Bodenseekreis', 'Category': 'School'}, {'AddressNumber': '19', 'Country': 'DEU', 'Geometry': {'Point': [9.26629, 47.69864]}, 'Interpolated': False, 'Label': 'Kindergarten Betreute Spielgruppe im Familientreff Meersburg, Sommertalweg 19, 88709, Meersburg, Baden-Württemberg, DEU', 'Municipality': 'Meersburg', 'PostalCode': '88709', 'Region': 'Baden-Württemberg', 'Street': 'Sommertal weg', 'SubRegion': 'Bodenseekreis', 'Category': 'School'}, {'AddressNumber': '17', 'Country': 'DEU', 'Geometry': {'Point': [9.26656, 47.6984]}, 'Interpolated': False, 'Label': 'Kindergarten Sommertal, Sommertalweg 17, 88709, Meersburg, Baden-Württemberg, DEU', 'Municipality': 'Meersburg', 'PostalCode': '88709', 'Region': 'Baden-Württemberg', 'Street': 'Sommertal weg', 'SubRegion': 'Bodenseekreis', 'Category': 'School'}]	['Medical Clinic', 'Parking', 'School']	['Schützenstraße 23, 88709, Meersburg, Baden-Württemberg, DEU', 'Schützenstraße, 88709, Meersburg, Baden-Württemberg, DEU', 'Sommertalweg 21, 88709, Meersburg, Baden-Württemberg, DEU', 'Sommertalweg, 88709, Meersburg, Baden-Württemberg, DEU', 'Sommertalweg 19, 88709, Meersburg, Baden-Württemberg, DEU', 'Sommertalweg 17, 88709, Meersburg, Baden-Württemberg, DEU']	['Klauspeter Haan', 'Jörg Fitzner', 'Sommertal', 'Sommertalschule Gemeinschaftsschule', 'Kindergarten Hort an der Grund-und Hauptschule', 'Kindergarten Betreute Spielgruppe im Familientreff Meersburg', 'Kindergarten Sommertal']	['Bodenseekreis']	['Schützenstraße', 'Sommertalweg']
